id,cnpj,municipio,mesorregiao,setor,porte,natureza_juridica,capital_social,num_funcionarios,faturamento_anual_estimado,data_abertura,situacao,data_situacao
2306,04.888.198/7599-73,Canoinhas,Norte Catarinense,Indústria metalúrgica,MEI,Empresário Individual,4910.14,0,42430.55,2022-01-08,Ativa,
2307,91.062.046/7863-03,Joinville,Norte Catarinense,Comércio varejista,ME,Sociedade Limitada,23647.91,3,146644.8,2024-11-21,Ativa,
2308,44.491.185/1015-42,Jaraguá do Sul,Norte Catarinense,Turismo e hotelaria,ME,Sociedade Limitada,200864.3,8,91899.49,2021-11-20,Suspensa,
2309,30.227.275/2152-72,Criciúma,Sul Catarinense,Beleza e estética,MEI,Empresário Individual,1279.93,0,63535.64,2021-07-25,Baixada,2024-08-20
2310,59.727.771/9846-05,Joinville,Norte Catarinense,Turismo e hotelaria,ME,Sociedade Limitada,33725.91,7,188054.39,2022-03-22,Ativa,
2311,86.987.164/6292-91,Joinville,Norte Catarinense,Indústria metalúrgica,Média,Sociedade Anônima Fechada,15035460.66,244,38782830.71,2023-12-09,Ativa,
2312,07.783.182/6374-19,Tubarão,Sul Catarinense,Construção civil,MEI,Empresário Individual,5587.23,0,75071.32,2022-08-26,Ativa,
2313,44.545.447/2787-92,Jaraguá do Sul,Norte Catarinense,Indústria têxtil e vestuário,MEI,Empresário Individual,7036.62,0,55090.0,2021-01-31,Ativa,
2314,20.613.769/8237-61,Blumenau,Vale do Itajaí,Educação e treinamento,EPP,Sociedade Limitada,2382878.67,11,4468811.99,2019-11-07,Baixada,2022-05-20
2315,81.212.635/8156-71,São Bento do Sul,Norte Catarinense,Comércio varejista,Média,Sociedade Anônima Fechada,45686760.96,189,27053807.84,2021-04-16,Suspensa,
2316,44.372.828/4012-52,Florianópolis,Grande Florianópolis,Indústria alimentícia,MEI,Empresário Individual,15362.91,0,53940.66,2022-08-22,Ativa,
2317,78.303.172/9409-93,Florianópolis,Grande Florianópolis,Alimentação e bebidas,MEI,Empresário Individual,11276.23,0,22590.25,2019-10-12,Suspensa,
2318,99.184.519/2084-96,Gaspar,Vale do Itajaí,Construção civil,MEI,Empresário Individual,17844.18,1,19750.94,2023-08-31,Ativa,
2319,34.010.752/8799-72,Blumenau,Vale do Itajaí,Educação e treinamento,MEI,Empresário Individual,1744.95,1,49230.21,2021-12-10,Suspensa,
2320,27.254.495/5030-79,Joinville,Norte Catarinense,Indústria alimentícia,MEI,Empresário Individual,3446.44,0,35206.53,2019-07-13,Ativa,
2321,75.163.806/6267-94,Blumenau,Vale do Itajaí,Comércio varejista,MEI,Empresário Individual,19368.68,0,28402.64,2024-04-06,Ativa,
2322,36.145.440/2919-56,Florianópolis,Grande Florianópolis,Indústria têxtil e vestuário,EPP,Sociedade Limitada,1286294.5,18,1114036.63,2024-02-24,Ativa,
2323,60.229.351/1748-63,Blumenau,Vale do Itajaí,Saúde e bem-estar,MEI,Empresário Individual,11647.68,0,30718.89,2022-02-24,Baixada,2025-12-24
2324,51.759.317/2610-84,Chapecó,Oeste Catarinense,Alimentação e bebidas,MEI,Empresário Individual,11238.82,1,78487.68,2022-12-05,Ativa,
2325,97.558.537/9978-81,Blumenau,Vale do Itajaí,Comércio varejista,ME,Sociedade Limitada,248759.84,7,110012.78,2024-01-05,Ativa,
2326,47.321.778/5457-47,Criciúma,Sul Catarinense,Serviços profissionais,ME,Sociedade Limitada,125510.62,2,241248.76,2023-07-16,Suspensa,
2327,27.541.156/5277-01,Biguaçu,Grande Florianópolis,Construção civil,MEI,Empresário Individual,15014.94,0,49280.34,2022-11-01,Baixada,2024-10-30
2328,92.008.546/3164-60,Araranguá,Sul Catarinense,Serviços profissionais,Média,Sociedade Anônima Fechada,20097369.19,243,33003582.01,2020-10-24,Ativa,
2329,33.149.325/4859-28,Chapecó,Oeste Catarinense,Indústria têxtil e vestuário,ME,Sociedade Limitada,311728.14,4,216273.97,2021-04-03,Suspensa,
2330,90.028.100/0326-66,Concórdia,Oeste Catarinense,Indústria alimentícia,MEI,Empresário Individual,9163.1,1,26327.24,2023-06-02,Ativa,
2331,77.650.294/2501-22,Rio do Sul,Vale do Itajaí,Construção civil,MEI,Empresário Individual,16126.97,1,75405.49,2023-07-22,Ativa,
2332,76.616.242/9338-01,Concórdia,Oeste Catarinense,Tecnologia da informação,MEI,Empresário Individual,4852.49,1,80085.32,2023-02-18,Ativa,
2333,49.175.078/3123-31,São Bento do Sul,Norte Catarinense,Comércio varejista,ME,Sociedade Limitada,163484.9,,167073.76,2020-04-18,Ativa,
2334,37.514.164/8668-98,Rio do Sul,Vale do Itajaí,Turismo e hotelaria,MEI,Empresário Individual,8169.0,0,69754.77,2024-08-04,Suspensa,
2335,63.555.012/1991-49,Joinville,Norte Catarinense,Indústria alimentícia,ME,Sociedade Limitada,343651.91,3,228638.76,2021-02-28,Baixada,2023-11-26
2336,59.445.991/4521-02,Palhoça,Grande Florianópolis,Serviços profissionais,MEI,Empresário Individual,7941.19,0,17794.81,2025-06-20,Ativa,
2337,21.004.687/9752-10,Florianópolis,Grande Florianópolis,Transporte e logística,MEI,Empresário Individual,13000.05,0,69775.6,2019-01-07,Baixada,2020-08-24
2338,90.544.171/0567-39,Indaial,Vale do Itajaí,Tecnologia da informação,ME,Sociedade Limitada,71354.55,6,278422.8,2022-05-12,Ativa,
2339,35.838.951/7520-47,Brusque,Vale do Itajaí,Saúde e bem-estar,ME,Sociedade Limitada,302404.96,8,357034.47,2025-06-06,Ativa,
2340,43.832.622/5063-48,Itajaí,Vale do Itajaí,Comércio varejista,MEI,Empresário Individual,8423.99,1,72395.36,2024-01-04,Ativa,
2341,03.809.541/8520-39,Joinville,Norte Catarinense,Alimentação e bebidas,ME,Sociedade Limitada,309894.05,2,153559.43,2021-08-07,Ativa,
2342,99.340.960/0876-84,Itajaí,Vale do Itajaí,Agronegócio,EPP,Sociedade Limitada,1586551.77,27,1320724.83,2019-03-22,Ativa,
2343,64.429.277/5019-32,São José,Grande Florianópolis,Serviços profissionais,MEI,Empresário Individual,4092.42,0,70617.16,2020-09-28,Ativa,
2344,52.381.498/7142-03,Concórdia,Oeste Catarinense,Comércio varejista,MEI,Empresário Individual,12585.95,0,64649.25,2022-07-02,Baixada,2023-10-18
2345,23.175.533/7347-76,São José,Grande Florianópolis,Construção civil,MEI,Empresário Individual,3283.93,1,15499.89,2021-06-21,Suspensa,
2346,69.915.897/3037-85,Joinville,Norte Catarinense,Turismo e hotelaria,ME,Sociedade Limitada,351768.55,6,223088.83,2022-08-04,Ativa,
2347,75.056.115/5510-74,Laguna,Sul Catarinense,Indústria metalúrgica,EPP,Sociedade Limitada,4553242.0,43,4152779.84,2020-06-03,Ativa,
2348,87.297.012/6831-56,Concórdia,Oeste Catarinense,Saúde e bem-estar,MEI,Empresário Individual,16109.38,1,17961.19,2023-07-03,Baixada,2024-05-01
2349,54.352.682/1947-19,Joinville,Norte Catarinense,Turismo e hotelaria,MEI,Empresário Individual,8111.38,0,65685.41,2019-07-18,Ativa,
2350,59.212.303/4899-05,Brusque,Vale do Itajaí,Indústria têxtil e vestuário,ME,Sociedade Limitada,257196.08,1,343458.59,2024-07-27,Ativa,
2351,11.867.019/8783-50,Chapecó,Oeste Catarinense,Alimentação e bebidas,ME,Sociedade Limitada,58186.42,2,286660.62,2023-12-19,Ativa,
2352,99.734.135/0540-76,,Não informada,Alimentação e bebidas,MEI,Empresário Individual,3075.71,0,27341.88,2021-02-15,Suspensa,
2353,39.480.720/7845-84,Joinville,Norte Catarinense,Imobiliário,MEI,Empresário Individual,14144.26,1,40223.57,2023-04-25,Baixada,2024-08-19
2354,72.527.934/4451-90,Blumenau,Vale do Itajaí,Alimentação e bebidas,MEI,Empresário Individual,14675.69,1,59328.97,2023-12-22,Ativa,
2355,71.084.257/5423-73,Chapecó,Oeste Catarinense,Construção civil,ME,Sociedade Limitada,307756.66,9,134642.76,2019-02-01,Ativa,
2356,32.253.502/2774-69,Blumenau,Vale do Itajaí,Indústria têxtil e vestuário,ME,Sociedade Limitada,352172.19,9,226136.06,2020-05-29,Baixada,2023-01-02
2357,22.212.004/0234-20,Florianópolis,Grande Florianópolis,Alimentação e bebidas,MEI,Empresário Individual,18628.34,0,35425.45,2021-06-18,Ativa,
2358,63.836.669/4365-86,Joinville,Norte Catarinense,Indústria têxtil e vestuário,MEI,Empresário Individual,6732.5,0,36764.94,2025-03-15,Ativa,
2359,55.329.677/3759-42,Brusque,Vale do Itajaí,Indústria metalúrgica,ME,Sociedade Limitada,177871.04,6,318711.97,2025-06-21,Suspensa,
2360,11.541.682/4977-05,Jaraguá do Sul,Norte Catarinense,Comércio varejista,ME,Sociedade Limitada,48075.08,7,145052.65,2023-06-02,Baixada,2025-11-27
2361,67.490.753/5138-34,São José,Grande Florianópolis,Alimentação e bebidas,ME,Sociedade Limitada,319345.17,7,184577.53,2021-12-03,Ativa,
2362,30.947.605/9676-56,Araranguá,Sul Catarinense,Serviços profissionais,EPP,Sociedade Limitada,1700783.17,48,1803914.74,2021-06-24,Ativa,
2363,38.925.291/4937-35,Florianópolis,Grande Florianópolis,Alimentação e bebidas,EPP,Sociedade Limitada,3795249.89,29,1506591.89,2021-07-31,Ativa,
2364,78.687.320/7181-16,Balneário Camboriú,Vale do Itajaí,Saúde e bem-estar,ME,Sociedade Limitada,39415.78,2,273064.14,2021-07-09,Baixada,2023-12-16
2365,39.874.054/1919-99,Balneário Camboriú,Vale do Itajaí,Alimentação e bebidas,MEI,Empresário Individual,8483.92,1,17665.87,2020-08-09,Baixada,2024-08-08
2366,04.512.285/8937-08,Blumenau,Vale do Itajaí,Imobiliário,ME,Sociedade Limitada,306280.76,8,161535.49,2020-05-12,Ativa,
2367,01.285.499/7263-15,Florianópolis,Grande Florianópolis,Transporte e logística,MEI,Empresário Individual,18264.91,0,14555.54,2021-07-05,Ativa,
2368,90.354.064/2823-59,Florianópolis,Grande Florianópolis,Comércio varejista,ME,Sociedade Limitada,304259.61,5,340030.94,2023-12-17,Ativa,
2369,41.212.349/6059-37,Rio do Sul,Vale do Itajaí,Alimentação e bebidas,MEI,Empresário Individual,19011.95,0,61546.19,2023-06-20,Ativa,
2370,88.705.716/2984-75,Florianópolis,Grande Florianópolis,Serviços profissionais,MEI,Empresário Individual,3645.5,1,61130.07,2022-09-30,Ativa,
2371,85.601.668/5867-78,Camboriú,Vale do Itajaí,Construção civil,Média,Sociedade Anônima Fechada,22100964.57,155,10127291.82,2025-05-18,Ativa,
2372,99.326.038/6157-42,Balneário Camboriú,Vale do Itajaí,Alimentação e bebidas,MEI,Empresário Individual,15558.14,0,54307.89,2024-01-20,Suspensa,
2373,88.074.612/0465-45,Caçador,Oeste Catarinense,Agronegócio,ME,Sociedade Limitada,79894.42,9,83385.69,2024-12-31,Ativa,
2374,30.421.037/9982-04,Chapecó,Oeste Catarinense,Serviços profissionais,MEI,Empresário Individual,8424.17,0,26410.93,2021-05-09,Ativa,
2375,37.759.012/9299-29,Balneário Camboriú,Vale do Itajaí,Construção civil,Média,Sociedade Anônima Fechada,36428859.6,243,8981829.57,2024-08-03,Ativa,
2376,74.911.392/8236-96,Joinville,Norte Catarinense,Comércio varejista,MEI,Empresário Individual,15139.61,1,72881.3,2019-03-01,Baixada,2022-01-25
2377,83.367.361/4047-61,Brusque,Vale do Itajaí,Saúde e bem-estar,MEI,Empresário Individual,,,28462.42,2023-11-08,Ativa,
2378,99.429.223/1978-95,Balneário Camboriú,Vale do Itajaí,Imobiliário,EPP,Sociedade Limitada,4383554.28,30,-1,2019-12-24,Ativa,
2379,72.322.747/8301-94,Palhoça,Grande Florianópolis,Tecnologia da informação,ME,Sociedade Limitada,32488.18,1,358798.6,2019-06-21,Ativa,
2380,41.785.847/7023-92,Blumenau,Vale do Itajaí,Comércio varejista,Média,Sociedade Anônima Fechada,38320969.9,118,16116801.32,2022-06-11,Ativa,
2381,92.341.024/2505-96,Itajaí,Vale do Itajaí,Saúde e bem-estar,MEI,Empresário Individual,8109.51,0,53204.75,2019-09-27,Suspensa,
2382,68.961.768/7296-20,Joinville,Norte Catarinense,Comércio varejista,MEI,Empresário Individual,16951.47,1,31431.32,2023-10-02,Ativa,
2383,25.923.065/1176-82,Blumenau,Vale do Itajaí,Transporte e logística,MEI,Empresário Individual,2102.87,0,78647.35,2019-12-27,Baixada,2024-02-04
2384,90.508.495/1704-20,Rio do Sul,Vale do Itajaí,Alimentação e bebidas,MEI,Empresário Individual,10762.3,0,33389.71,2024-08-30,Ativa,
2385,44.133.358/0210-37,Brusque,Vale do Itajaí,Construção civil,EPP,Sociedade Limitada,2841539.9,38,4483201.34,2023-12-08,Ativa,
2386,15.708.832/8604-16,Brusque,Vale do Itajaí,Comércio varejista,MEI,Empresário Individual,11311.52,0,34814.1,2022-07-25,Ativa,
2387,55.746.433/3040-30,Florianópolis,Grande Florianópolis,Alimentação e bebidas,EPP,Sociedade Limitada,2956956.75,17,3535385.31,2022-05-31,Ativa,
2388,92.580.994/9194-37,São José,Grande Florianópolis,Agronegócio,ME,Sociedade Limitada,185308.71,6,224270.61,2019-11-30,Baixada,2023-11-16
2389,02.208.053/8479-27,Araranguá,Sul Catarinense,Alimentação e bebidas,MEI,Empresário Individual,14246.49,1,63136.44,2021-04-18,Suspensa,
2390,20.140.798/3400-77,Lages,Serrana,Comércio varejista,EPP,Sociedade Limitada,1804303.56,44,1198587.74,2023-06-11,Ativa,
2391,34.996.321/5533-97,Navegantes,Vale do Itajaí,Educação e treinamento,ME,Sociedade Limitada,267595.67,9,283323.56,2020-02-14,Ativa,
2392,00.259.375/8183-50,Caçador,Oeste Catarinense,Alimentação e bebidas,MEI,Empresário Individual,16527.05,1,18903.43,2020-06-21,Ativa,
2393,42.351.802/6421-49,Balneário Camboriú,Vale do Itajaí,Comércio varejista,ME,Sociedade Limitada,351663.36,9,245971.98,2019-02-22,Ativa,
2394,96.939.205/5157-04,Joinville,Norte Catarinense,Tecnologia da informação,MEI,Empresário Individual,14717.03,1,72397.62,2023-05-07,Ativa,
2395,26.874.433/7314-02,Concórdia,Oeste Catarinense,Turismo e hotelaria,MEI,Empresário Individual,6499.56,1,55021.63,2019-02-15,Ativa,
2396,97.862.163/4844-30,Balneário Camboriú,Vale do Itajaí,Alimentação e bebidas,MEI,Empresário Individual,16028.19,0,-1,2020-03-11,Baixada,2021-09-06
2397,61.371.958/8073-27,Blumenau,Vale do Itajaí,Alimentação e bebidas,MEI,Empresário Individual,17957.23,0,22199.75,2022-10-10,Baixada,2025-11-27
2398,87.203.238/3227-04,Joinville,Norte Catarinense,Serviços profissionais,MEI,Empresário Individual,11146.71,1,68217.43,2020-08-06,Ativa,
2399,23.310.818/5480-51,Balneário Camboriú,Vale do Itajaí,Alimentação e bebidas,EPP,Sociedade Limitada,486150.34,34,1882272.31,2022-04-13,Baixada,2024-07-03
2400,18.132.406/2146-13,Joinville,Norte Catarinense,Saúde e bem-estar,MEI,Empresário Individual,5283.19,1,74343.75,2024-04-24,Ativa,
2401,81.415.771/8074-92,Joinville,Norte Catarinense,Alimentação e bebidas,MEI,Empresário Individual,2117.49,1,34223.23,2024-04-17,Ativa,
2402,90.827.457/4565-99,Joinville,Norte Catarinense,Saúde e bem-estar,Média,Sociedade Anônima Fechada,42229752.59,156,21100764.57,2025-12-10,Ativa,
2403,12.146.307/0095-83,Joinville,Norte Catarinense,Serviços profissionais,MEI,Empresário Individual,10025.97,0,40667.85,2021-07-18,Ativa,
2404,74.493.667/3521-60,Concórdia,Oeste Catarinense,Alimentação e bebidas,ME,Sociedade Limitada,85934.19,4,94865.4,2023-05-27,Baixada,2024-01-07
2405,96.479.353/9562-15,Itajaí,Vale do Itajaí,Alimentação e bebidas,MEI,Empresário Individual,9665.79,1,54619.16,2025-08-22,Baixada,2025-11-27
2406,16.673.221/7759-41,Blumenau,Vale do Itajaí,Indústria têxtil e vestuário,MEI,Empresário Individual,17059.31,0,76156.29,2024-02-05,Ativa,
2407,91.627.624/3960-63,Blumenau,Vale do Itajaí,Construção civil,ME,Sociedade Limitada,129571.03,4,352821.31,2022-02-21,Ativa,
2408,56.392.118/7816-26,Florianópolis,Grande Florianópolis,Beleza e estética,ME,Sociedade Limitada,258032.94,9,243320.66,2021-05-01,Ativa,
2409,46.850.094/7947-92,Balneário Camboriú,Vale do Itajaí,Turismo e hotelaria,MEI,Empresário Individual,7238.81,0,36375.3,2021-06-19,Baixada,2021-12-24
2410,29.686.367/7639-66,Lages,Serrana,Turismo e hotelaria,MEI,Empresário Individual,17246.44,0,74632.68,2023-05-09,Ativa,
2411,38.389.011/7528-20,Joinville,Norte Catarinense,Serviços profissionais,MEI,Empresário Individual,,,36925.95,2019-02-16,Ativa,
2412,40.280.280/2224-46,Concórdia,Oeste Catarinense,Imobiliário,MEI,Empresário Individual,10183.98,1,20529.98,2024-07-29,Ativa,
2413,70.438.833/9238-40,Criciúma,Sul Catarinense,Beleza e estética,MEI,Empresário Individual,14279.43,1,50745.12,2024-04-21,Ativa,
2414,27.359.840/7054-72,Balneário Camboriú,Vale do Itajaí,Indústria têxtil e vestuário,MEI,Empresário Individual,2476.0,1,64868.79,2025-09-18,Ativa,
2415,16.680.731/0017-97,Florianópolis,Grande Florianópolis,Saúde e bem-estar,MEI,Empresário Individual,16323.11,1,43692.51,2022-09-02,Ativa,
2416,82.235.522/0941-24,Criciúma,Sul Catarinense,Serviços profissionais,ME,Sociedade Limitada,66053.37,1,261890.34,2021-01-02,Ativa,
2417,11.396.545/2551-76,Videira,Oeste Catarinense,Saúde e bem-estar,MEI,Empresário Individual,15075.36,0,23685.48,2020-08-28,Ativa,
2418,97.572.031/4306-14,Blumenau,Vale do Itajaí,Indústria têxtil e vestuário,ME,Sociedade Limitada,306832.7,6,88286.7,2022-05-26,Ativa,
2419,98.189.237/1044-90,Joinville,Norte Catarinense,Comércio varejista,MEI,Empresário Individual,11972.58,1,43243.19,2024-12-04,Ativa,
2420,80.391.277/9053-87,Itajaí,Vale do Itajaí,Saúde e bem-estar,MEI,Empresário Individual,9054.14,0,72484.61,2021-11-05,Ativa,
2421,97.733.800/4143-26,Blumenau,Vale do Itajaí,Indústria têxtil e vestuário,MEI,Empresário Individual,5033.08,1,78296.67,2022-10-28,Suspensa,
2422,08.658.623/3487-81,Palhoça,Grande Florianópolis,Saúde e bem-estar,ME,Sociedade Limitada,53109.32,1,310463.09,2022-05-17,Ativa,
2423,51.415.617/3124-32,Balneário Camboriú,Vale do Itajaí,Alimentação e bebidas,MEI,Empresário Individual,18084.33,1,56488.57,2019-09-18,Ativa,
2424,00.568.417/2734-06,Florianópolis,Grande Florianópolis,Tecnologia da informação,ME,Sociedade Limitada,353422.53,7,357400.98,2021-11-01,Ativa,
2425,15.089.229/8309-22,Jaraguá do Sul,Norte Catarinense,Imobiliário,EPP,Sociedade Limitada,,21,2064451.18,2020-04-23,Ativa,
2426,43.062.873/4512-95,Florianópolis,Grande Florianópolis,Alimentação e bebidas,EPP,Sociedade Limitada,3324242.65,12,-1,2021-11-02,Ativa,
2427,02.786.348/7656-12,São Bento do Sul,Norte Catarinense,Saúde e bem-estar,ME,Sociedade Limitada,266029.32,6,232433.09,2025-01-08,Ativa,
2428,95.316.156/6785-97,Itajaí,Vale do Itajaí,Comércio varejista,Grande,Sociedade Anônima,421357443.24,963,468459285.0,2025-10-18,Ativa,
2429,24.796.554/5085-54,Brusque,Vale do Itajaí,Comércio varejista,MEI,Empresário Individual,3800.73,0,12592.2,2025-10-24,Ativa,
2430,99.498.440/6026-90,Jaraguá do Sul,Norte Catarinense,Imobiliário,ME,Sociedade Limitada,210807.37,5,148045.88,2023-05-05,Ativa,
2431,88.153.029/3336-77,Lages,Serrana,Serviços profissionais,MEI,Empresário Individual,3000.47,,24925.49,2020-06-27,Ativa,
2432,13.253.325/8884-04,Florianópolis,Grande Florianópolis,Comércio varejista,MEI,Empresário Individual,5447.35,1,18977.77,2022-12-18,Ativa,
2433,48.502.461/0168-10,Brusque,Vale do Itajaí,Serviços profissionais,MEI,Empresário Individual,2846.53,0,18093.55,2020-07-15,Ativa,
2434,37.204.032/4044-01,Itajaí,Vale do Itajaí,Alimentação e bebidas,MEI,Empresário Individual,5398.02,1,76865.74,2024-06-28,Suspensa,
2435,90.431.286/8667-75,Joinville,Norte Catarinense,Construção civil,MEI,Empresário Individual,18100.48,1,25798.94,2021-04-20,Ativa,
2436,31.999.087/0146-18,Chapecó,Oeste Catarinense,Serviços profissionais,ME,Sociedade Limitada,143980.34,4,90704.17,2021-04-04,Baixada,2022-05-07
2437,14.642.508/8232-43,Criciúma,Sul Catarinense,Indústria alimentícia,ME,Sociedade Limitada,254107.18,4,329312.4,2024-05-05,Ativa,
2438,29.213.324/0618-69,Balneário Camboriú,Vale do Itajaí,Agronegócio,MEI,Empresário Individual,13878.72,1,26694.77,2024-01-09,Ativa,
2439,82.616.913/4381-25,Balneário Camboriú,Vale do Itajaí,Serviços profissionais,MEI,Empresário Individual,18317.61,,75677.04,2020-09-04,Suspensa,
2440,41.426.562/6160-46,Jaraguá do Sul,Norte Catarinense,Comércio varejista,MEI,Empresário Individual,2584.03,1,30641.2,2020-11-24,Ativa,
2441,39.783.747/6693-77,Blumenau,Vale do Itajaí,Comércio varejista,ME,Sociedade Limitada,116951.73,,352131.8,2020-10-18,Baixada,2023-03-19
2442,12.826.124/9987-79,Palhoça,Grande Florianópolis,Indústria metalúrgica,MEI,Empresário Individual,4208.61,1,65998.92,2021-11-18,Ativa,
2443,04.086.732/5868-48,Jaraguá do Sul,Norte Catarinense,Agronegócio,ME,Sociedade Limitada,213989.92,1,278204.1,2019-10-28,Baixada,2022-05-08
2444,86.512.054/1528-07,Florianópolis,Grande Florianópolis,Serviços profissionais,MEI,Empresário Individual,18901.75,1,75205.05,2019-11-01,Baixada,2022-01-10
2445,70.653.813/7895-62,Itajaí,Vale do Itajaí,Imobiliário,MEI,Empresário Individual,3158.13,1,75436.64,2019-02-01,Baixada,2020-02-09
2446,59.524.050/0451-06,Araranguá,Sul Catarinense,Alimentação e bebidas,EPP,Sociedade Limitada,1082308.48,11,1742687.85,2019-10-05,Ativa,
2447,58.832.257/0211-68,Balneário Camboriú,Vale do Itajaí,Transporte e logística,MEI,Empresário Individual,1841.17,1,22790.65,2024-10-04,Ativa,
2448,56.917.815/4836-11,Brusque,Vale do Itajaí,Serviços profissionais,ME,Sociedade Limitada,296310.78,3,227380.77,2020-10-20,Ativa,
2449,42.678.456/6115-56,Blumenau,Vale do Itajaí,Tecnologia da informação,MEI,Empresário Individual,15474.88,1,31658.58,2023-05-11,Ativa,
2450,17.829.614/7307-48,Jaraguá do Sul,Norte Catarinense,Comércio varejista,MEI,Empresário Individual,19621.73,1,58351.48,2025-09-08,Ativa,
2451,65.217.456/5898-84,Palhoça,Grande Florianópolis,Comércio varejista,ME,Sociedade Limitada,80809.58,2,310835.97,2024-07-25,Ativa,
2452,95.573.815/6799-72,Joinville,Norte Catarinense,Tecnologia da informação,ME,Sociedade Limitada,251010.96,1,267327.4,2021-07-16,Ativa,
2453,16.949.739/7687-65,Itajaí,Vale do Itajaí,Serviços profissionais,MEI,Empresário Individual,3377.23,0,71110.85,2019-03-29,Ativa,
2454,19.975.117/5634-40,Lages,Serrana,Serviços profissionais,Grande,Sociedade Anônima,271276828.4,1972,353408784.57,2020-03-23,Baixada,2020-12-02
2455,78.332.263/7319-68,Chapecó,Oeste Catarinense,Comércio varejista,MEI,Empresário Individual,16455.34,0,41897.9,2023-04-18,Ativa,
2456,56.914.701/2983-94,Joinville,Norte Catarinense,Comércio varejista,ME,Sociedade Limitada,320651.88,1,201117.9,2020-06-01,Ativa,
2457,52.853.004/5578-68,São José,Grande Florianópolis,Alimentação e bebidas,EPP,Sociedade Limitada,,41,3405104.87,2022-02-03,Ativa,
2458,77.414.420/1803-42,Caçador,Oeste Catarinense,Alimentação e bebidas,MEI,Empresário Individual,17448.64,0,13272.04,2020-05-31,Ativa,
2459,70.817.962/1167-12,Florianópolis,Grande Florianópolis,Serviços profissionais,ME,Sociedade Limitada,306792.29,,338908.59,2024-03-28,Baixada,2024-11-11
2460,66.581.366/2220-86,Joinville,Norte Catarinense,Alimentação e bebidas,ME,Sociedade Limitada,352937.28,7,249479.66,2021-07-14,Baixada,2023-10-29
2461,78.348.814/6082-47,Caçador,Oeste Catarinense,Indústria têxtil e vestuário,MEI,Empresário Individual,14472.9,1,13690.08,2019-03-27,Ativa,
2462,61.962.132/3929-50,Blumenau,Vale do Itajaí,Beleza e estética,MEI,Empresário Individual,6904.28,1,67075.16,2021-04-30,Ativa,
2463,87.267.051/1938-83,,Não informada,Indústria têxtil e vestuário,EPP,Sociedade Limitada,724562.62,22,3925022.49,2023-04-25,Baixada,2024-04-24
2464,20.185.905/2731-18,,Não informada,Comércio varejista,MEI,Empresário Individual,2662.81,1,69796.13,2024-09-22,Ativa,
2465,84.101.959/9222-49,Criciúma,Sul Catarinense,Serviços profissionais,EPP,Sociedade Limitada,1184805.93,16,2627179.33,2021-01-30,Baixada,2022-03-16
2466,22.097.648/6183-82,Joinville,Norte Catarinense,Turismo e hotelaria,MEI,Empresário Individual,14623.9,1,41816.5,2019-04-23,Ativa,
2467,51.820.808/6178-08,Blumenau,Vale do Itajaí,Imobiliário,ME,Sociedade Limitada,86781.79,2,302894.2,2022-04-21,Ativa,
2468,70.365.959/2570-72,Itajaí,Vale do Itajaí,Comércio varejista,MEI,Empresário Individual,9404.47,0,79804.53,2022-06-11,Baixada,2023-07-12
2469,11.721.370/2616-71,Navegantes,Vale do Itajaí,Construção civil,ME,Sociedade Limitada,220474.0,5,278643.74,2020-10-05,Suspensa,
2470,83.209.143/1938-41,Chapecó,Oeste Catarinense,Indústria têxtil e vestuário,MEI,Empresário Individual,3870.34,1,-1,2019-08-08,Baixada,2020-04-16
2471,98.872.877/1304-23,Navegantes,Vale do Itajaí,Educação e treinamento,MEI,Empresário Individual,14429.26,0,27854.96,2019-10-08,Ativa,
2472,70.978.525/3991-38,Itajaí,Vale do Itajaí,Indústria têxtil e vestuário,MEI,Empresário Individual,1130.72,1,68124.11,2025-08-03,Ativa,
2473,54.423.344/0258-85,Blumenau,Vale do Itajaí,Alimentação e bebidas,MEI,Empresário Individual,12914.82,1,29268.3,2024-03-01,Ativa,
2474,31.599.646/0872-54,Navegantes,Vale do Itajaí,Indústria metalúrgica,MEI,Empresário Individual,3892.41,,18624.31,2025-10-19,Ativa,
2475,78.110.162/1989-74,Itajaí,Vale do Itajaí,Construção civil,MEI,Empresário Individual,15412.59,0,63382.43,2024-09-25,Ativa,
2476,64.919.070/4451-96,Navegantes,Vale do Itajaí,Alimentação e bebidas,ME,Sociedade Limitada,156659.03,2,306012.88,2020-01-04,Ativa,
2477,84.252.467/1930-64,Blumenau,Vale do Itajaí,Tecnologia da informação,MEI,Empresário Individual,14199.56,1,16498.86,2023-04-08,Ativa,
2478,43.595.133/3169-54,São Bento do Sul,Norte Catarinense,Construção civil,MEI,Empresário Individual,15637.43,1,36336.25,2019-04-11,Suspensa,
2479,77.204.397/1888-42,Joinville,Norte Catarinense,Alimentação e bebidas,MEI,Empresário Individual,7664.13,0,40871.93,2021-06-17,Suspensa,
2480,84.034.769/6454-40,Criciúma,Sul Catarinense,Comércio varejista,MEI,Empresário Individual,7010.52,1,76114.13,2023-10-09,Suspensa,
2481,01.187.213/9830-20,Chapecó,Oeste Catarinense,Construção civil,ME,Sociedade Limitada,129023.41,3,224741.49,2020-09-04,Ativa,
2482,86.191.364/0695-80,São José,Grande Florianópolis,Agronegócio,Média,Sociedade Anônima Fechada,44422726.77,92,34884975.0,2024-01-07,Ativa,
